cellId,cellIx,cellIy,zone,Nfluid,Mfluid,Nlatent,Ninactive
789,21,25,background,20,20,0,0
790,22,25,background,20,20,0,0
791,23,25,background,20,20,0,0
792,24,25,background,20,20,0,0
793,25,25,background,20,20,0,0
794,26,25,background,20,20,0,0
795,27,25,background,20,20,0,0
796,28,25,background,20,20,0,0
797,29,25,background,20,20,0,0
798,30,25,background,20,20,0,0
799,31,25,background,20,20,0,0
800,32,25,background,20,20,0,0
801,1,26,background,20,20,0,0
802,2,26,background,20,20,0,0
803,3,26,background,20,20,0,0
804,4,26,background,20,20,0,0
805,5,26,background,20,20,0,0
806,6,26,background,20,20,0,0
807,7,26,background,20,20,0,0
808,8,26,background,20,20,0,0
809,9,26,background,20,20,0,0
810,10,26,background,20,20,0,0
811,11,26,background,20,20,0,0
812,12,26,background,20,20,0,0
813,13,26,background,20,20,0,0
814,14,26,background,20,20,0,0
815,15,26,background,20,20,0,0
816,16,26,background,20,20,0,0
817,17,26,background,20,20,0,0
818,18,26,background,20,20,0,0
819,19,26,background,20,20,0,0
820,20,26,background,20,20,0,0
821,21,26,background,20,20,0,0
822,22,26,background,20,20,0,0
823,23,26,background,20,20,0,0
824,24,26,background,20,20,0,0
825,25,26,background,20,20,0,0
826,26,26,background,20,20,0,0
827,27,26,background,20,20,0,0
828,28,26,background,20,20,0,0
829,29,26,background,20,20,0,0
830,30,26,background,20,20,0,0
831,31,26,background,20,20,0,0
832,32,26,background,20,20,0,0
833,1,27,background,20,20,0,0
834,2,27,background,20,20,0,0
835,3,27,background,20,20,0,0
836,4,27,background,20,20,0,0
837,5,27,background,20,20,0,0
838,6,27,background,20,20,0,0
839,7,27,background,20,20,0,0
840,8,27,background,20,20,0,0
841,9,27,background,20,20,0,0
842,10,27,background,20,20,0,0
843,11,27,background,20,20,0,0
844,12,27,background,20,20,0,0
845,13,27,background,20,20,0,0
846,14,27,background,20,20,0,0
847,15,27,background,20,20,0,0
848,16,27,background,20,20,0,0
849,17,27,background,20,20,0,0
850,18,27,background,20,20,0,0
851,19,27,background,20,20,0,0
852,20,27,background,20,20,0,0
853,21,27,background,20,20,0,0
854,22,27,background,20,20,0,0
855,23,27,background,20,20,0,0
856,24,27,background,20,20,0,0
857,25,27,background,20,20,0,0
858,26,27,background,20,20,0,0
859,27,27,background,20,20,0,0
860,28,27,background,20,20,0,0
861,29,27,background,20,20,0,0
862,30,27,background,20,20,0,0
863,31,27,background,20,20,0,0
864,32,27,background,20,20,0,0
