cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
264,72,3,1.48958333333333,0.0520833333333333,1,16,16,0.831593145146017
265,73,3,1.51041666666667,0.0520833333333333,1,28,28,0.850023804118
266,74,3,1.53125,0.0520833333333333,1,29,29,0.86854989898223
267,75,3,1.55208333333333,0.0520833333333333,1,18,18,0.887166163329346
268,76,3,1.57291666666667,0.0520833333333333,1,21,21,0.905867688295566
269,77,3,1.59375,0.0520833333333333,1,24,24,0.924649894834522
270,78,3,1.61458333333333,0.0520833333333333,1,12,12,0.943508508297993
271,79,3,1.63541666666667,0.0520833333333333,1,26,26,0.962439535134514
272,80,3,1.65625,0.0520833333333333,1,15,15,0.981439241528001
273,81,3,1.67708333333333,0.0520833333333333,1,9,9,1.0005041338116
274,82,3,1.69791666666667,0.0520833333333333,1,23,23,1.01963094050467
275,83,3,1.71875,0.0520833333333333,1,22,22,1.03881659583291
276,84,3,1.73958333333333,0.0520833333333333,1,17,17,1.05805822460333
277,85,3,1.76041666666667,0.0520833333333333,1,30,30,1.07735312831632
278,86,3,1.78125,0.0520833333333333,1,24,24,1.09669877240744
279,87,3,1.80208333333333,0.0520833333333333,1,18,18,1.11609277452068
280,88,3,1.82291666666667,0.0520833333333333,1,14,14,1.13553289372371
281,89,3,1.84375,0.0520833333333333,1,22,22,1.15501702058356
282,90,3,1.86458333333333,0.0520833333333333,1,9,9,1.17454316802835
283,91,3,1.88541666666667,0.0520833333333333,1,19,19,1.19410946292748
284,92,3,1.90625,0.0520833333333333,1,27,27,1.21371413832867
285,93,3,1.92708333333333,0.0520833333333333,1,17,17,1.23335552629586
286,94,3,1.94791666666667,0.0520833333333333,1,20,20,1.25303205129701
287,95,3,1.96875,0.0520833333333333,1,19,19,1.27274222409525
288,96,3,1.98958333333333,0.0520833333333333,1,16,16,1.2924846361013
289,1,4,0.0104166666666667,0.0729166666666667,1,19,19,0.649068926617692
290,2,4,0.03125,0.0729166666666667,1,28,28,0.631832252640914
291,3,4,0.0520833333333333,0.0729166666666667,1,7,7,0.614781949893224
292,4,4,0.0729166666666667,0.0729166666666667,1,17,17,0.597931297007048
293,5,4,0.09375,0.0729166666666667,1,24,24,0.581294685642998
294,6,4,0.114583333333333,0.0729166666666667,1,22,22,0.564887713830198
295,7,4,0.135416666666667,0.0729166666666667,1,18,18,0.548727284141716
296,8,4,0.15625,0.0729166666666667,1,23,23,0.532831705810243
297,9,4,0.177083333333333,0.0729166666666667,1,29,29,0.517220799426872
298,10,4,0.197916666666667,0.0729166666666667,1,14,14,0.50191600227755
299,11,4,0.21875,0.0729166666666667,1,28,28,0.486940471637138
300,12,4,0.239583333333333,0.0729166666666667,1,22,22,0.472319182442109
301,13,4,0.260416666666667,0.0729166666666667,1,21,21,0.458079014687631
302,14,4,0.28125,0.0729166666666667,1,20,20,0.444248824643092
303,15,4,0.302083333333333,0.0729166666666667,1,24,24,0.430859492570978
304,16,4,0.322916666666667,0.0729166666666667,1,20,20,0.417943938115819
305,17,4,0.34375,0.0729166666666667,1,10,10,0.405537092992599
306,18,4,0.364583333333333,0.0729166666666667,1,27,27,0.393675819191659
307,19,4,0.385416666666667,0.0729166666666667,1,22,22,0.382398759840118
308,20,4,0.40625,0.0729166666666667,1,27,27,0.371746109401092
309,21,4,0.427083333333333,0.0729166666666667,1,16,16,0.36175929040226
310,22,4,0.447916666666667,0.0729166666666667,1,12,12,0.352480525759763
