cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
146,50,2,1.03125,0.03125,1,29,29,0.588486503047165
147,51,2,1.05208333333333,0.03125,1,7,7,0.604239303990362
148,52,2,1.07291666666667,0.03125,1,15,15,0.620243250184994
149,53,2,1.09375,0.03125,1,22,22,0.636482402306888
150,54,2,1.11458333333333,0.03125,1,13,13,0.652941935795381
151,55,2,1.13541666666667,0.03125,1,16,16,0.669608069093634
152,56,2,1.15625,0.03125,1,17,17,0.686467993785246
153,57,2,1.17708333333333,0.03125,1,22,22,0.703509807335515
154,58,2,1.19791666666667,0.03125,1,26,26,0.720722448915878
155,59,2,1.21875,0.03125,1,18,18,0.738095638609124
156,60,2,1.23958333333333,0.03125,1,17,17,0.755619820152813
157,61,2,1.26041666666667,0.03125,1,25,25,0.773286107271598
158,62,2,1.28125,0.03125,1,11,11,0.791086233569578
159,63,2,1.30208333333333,0.03125,1,8,8,0.809012505895971
160,64,2,1.32291666666667,0.03125,1,13,13,0.827057761056725
161,65,2,1.34375,0.03125,1,22,22,0.845215325717531
162,66,2,1.36458333333333,0.03125,1,23,23,0.863478979326847
163,67,2,1.38541666666667,0.03125,1,20,20,0.881842919878716
164,68,2,1.40625,0.03125,1,16,16,0.900301732332157
165,69,2,1.42708333333333,0.03125,1,22,22,0.918850359505374
166,70,2,1.44791666666667,0.03125,1,20,20,0.93748407526754
167,71,2,1.46875,0.03125,1,17,17,0.95619845985766
168,72,2,1.48958333333333,0.03125,1,20,20,0.974989377168158
169,73,2,1.51041666666667,0.03125,1,18,18,0.993852953839858
170,74,2,1.53125,0.03125,1,19,19,1.01278556002449
171,75,2,1.55208333333333,0.03125,1,16,16,1.03178379168044
172,76,2,1.57291666666667,0.03125,1,13,13,1.05084445427696
173,77,2,1.59375,0.03125,1,27,27,1.06996454779124
174,78,2,1.61458333333333,0.03125,1,11,11,1.08914125289167
175,79,2,1.63541666666667,0.03125,1,19,19,1.10837191820899
176,80,2,1.65625,0.03125,1,28,28,1.12765404860482
177,81,2,1.67708333333333,0.03125,1,24,24,1.14698529435472
178,82,2,1.69791666666667,0.03125,1,20,20,1.16636344116963
179,83,2,1.71875,0.03125,1,21,21,1.18578640098601
180,84,2,1.73958333333333,0.03125,1,14,14,1.20525220346083
181,85,2,1.76041666666667,0.03125,1,23,23,1.22475898811315
182,86,2,1.78125,0.03125,1,15,15,1.24430499705894
183,87,2,1.80208333333333,0.03125,1,19,19,1.26388856829025
