x_center,y_center,ux,uy,count,omega
0.284375,0.0003125,0.503788,0.237303,17,-163.43
0.285625,0.0003125,0.370094,-0.207128,17,-137.35
0.286875,0.0003125,0.336382,0.00536365,24,29.2708
0.288125,0.0003125,0.419614,-0.0459592,20,-343.997
0.289375,0.0003125,0.587784,-0.231619,19,8.48234
0.290625,0.0003125,0.500896,0.134325,18,36.9769
0.291875,0.0003125,0.558223,0.0443023,32,196.296
0.293125,0.0003125,0.441479,-0.053664,21,89.6327
0.294375,0.0003125,0.49372,0.142498,23,-187.49
0.295625,0.0003125,0.313435,-0.0610861,27,86.9095
0.296875,0.0003125,0.290588,0.136134,21,-63.5123
0.298125,0.0003125,0.42414,0.125613,22,-57.1348
0.299375,0.0003125,0.63197,-0.214514,14,-31.8414
0.300625,0.0003125,0.608671,0.286206,18,216.637
0.301875,0.0003125,0.443492,0.00318239,15,-165.925
0.303125,0.0003125,0.570428,-0.130044,27,119.65
0.304375,0.0003125,0.416108,-0.136962,32,-16.28
0.305625,0.0003125,0.375192,0.0746566,14,189.549
0.306875,0.0003125,0.467792,0.326672,24,-154.371
0.308125,0.0003125,0.510641,0.0278374,33,-135.644
0.309375,0.0003125,0.849468,-0.00810354,16,-98.5565
0.310625,0.0003125,0.23003,-0.065804,26,115.349
0.311875,0.0003125,0.525404,-0.276724,19,-295.403
0.313125,0.0003125,0.266964,0.330407,21,-6.21811
0.314375,0.0003125,0.627683,0.15859,20,-178.476
0.315625,0.0003125,0.580923,0.274311,16,84.291
0.316875,0.0003125,0.621124,0.00527033,28,351.232
0.318125,0.0003125,0.323315,-0.0250072,18,-34.5304
0.319375,0.0003125,0.395926,0.0248806,28,-110.281
0.320625,0.0003125,0.578102,-0.0156152,20,-6.03314
0.321875,0.0003125,0.261973,-0.0910698,18,422.381
0.323125,0.0003125,0.518767,0.250923,26,-8.41507
0.324375,0.0003125,0.348138,0.160011,16,-58.1047
0.325625,0.0003125,0.327224,-0.173131,21,-383.668
0.326875,0.0003125,0.372364,-0.167922,15,125.454
0.328125,0.0003125,0.630148,0.0789366,19,240.921
0.329375,0.0003125,0.489915,0.0390337,16,-164.204
0.330625,0.0003125,0.459941,-0.221406,19,83.4709
0.331875,0.0003125,0.528503,0.0932224,19,-93.2648
0.333125,0.0003125,0.372238,-0.0388879,22,-486.573
0.334375,0.0003125,0.291915,-0.15192,13,-78.4107
0.335625,0.0003125,0.632344,-0.0570231,13,-95.056
0.336875,0.0003125,0.626237,-0.0971506,13,224.73
0.338125,0.0003125,0.635165,0.0114094,17,27.7891
0.339375,0.0003125,0.313028,-0.13731,17,-165.674
0.340625,0.0003125,0.577825,-0.150623,18,148.309
0.341875,0.0003125,0.442276,0.164559,22,-20.4676
0.343125,0.0003125,0.442219,-0.0832985,27,-299.434
0.344375,0.0003125,0.496278,0.2046,28,-111.999
0.345625,0.0003125,0.546763,-0.13803,24,-27.4978
0.346875,0.0003125,0.60947,0.0860515,17,168.909
0.348125,0.0003125,0.496598,-0.0463408,21,53.482
0.349375,0.0003125,0.204901,0.344673,14,-532.112
0.350625,0.0003125,0.523424,-0.100621,21,-135.369
0.351875,0.0003125,0.583976,0.149203,16,-83.8124
0.353125,0.0003125,0.286336,0.213398,18,-473.843
0.354375,0.0003125,0.310326,-0.137382,17,-69.9582
0.355625,0.0003125,0.63716,0.0320871,24,-211.175
0.356875,0.0003125,0.697217,-0.276542,14,131.038
0.358125,0.0003125,0.287772,0.0670349,21,47.8596
0.359375,0.0003125,0.31803,0.0819801,27,24.211
0.360625,0.0003125,0.542621,0.10807,25,37.0024
0.361875,0.0003125,0.32071,-0.0906145,20,-217.484
0.363125,0.0003125,0.367336,0.0230596,23,-13.5522
0.364375,0.0003125,0.523928,-0.00210872,25,35.64
0.365625,0.0003125,0.532667,-0.0562555,18,1.87695
0.366875,0.0003125,0.534943,0.0786577,30,20.0032
0.368125,0.0003125,0.89348,-0.0489844,17,-99.6549
0.369375,0.0003125,0.450944,-0.415648,19,-25.1514
0.370625,0.0003125,0.588769,-0.265026,11,485.744
0.371875,0.0003125,0.43929,0.174864,15,191.515
0.373125,0.0003125,0.422958,0.196406,18,336.263
0.374375,0.0003125,0.658857,-0.0403119,15,-203.254
0.375625,0.0003125,0.314638,0.148225,29,12.536
0.376875,0.0003125,0.347746,-0.218378,28,-421.02
0.378125,0.0003125,0.250829,0.0100233,19,-99.2225
0.379375,0.0003125,0.416456,0.0938309,24,21.1578
0.380625,0.0003125,0.568244,-0.185113,22,117.759
0.381875,0.0003125,0.556828,0.0848718,16,91.4861
0.383125,0.0003125,0.45932,-0.135646,22,-247.445
0.384375,0.0003125,0.520037,-0.0170921,18,215.88
0.385625,0.0003125,0.429313,0.100924,19,-35.0754
0.386875,0.0003125,0.470358,0.163055,22,-156.412
0.388125,0.0003125,0.424742,0.201075,27,-140.207
0.389375,0.0003125,0.543863,-0.307954,17,-241.49
0.390625,0.0003125,0.523425,0.130314,25,265.718
0.391875,0.0003125,0.427144,-0.226705,17,-59.9102
0.393125,0.0003125,0.520997,-0.0994548,16,-113.528
0.394375,0.0003125,0.491914,-0.138687,23,436.879
0.395625,0.0003125,0.487585,0.146634,25,77.0297
0.396875,0.0003125,0.587064,0.121172,26,112.07
0.398125,0.0003125,0.576761,-0.0436198,19,-111.026
0.399375,0.0003125,0.296228,-0.351164,19,14.8236
0.400625,0.0003125,0.361405,0.0456623,22,210.148
