path,action,group,reason
docs/IMMERSED_CIRCLE_TRANSLATION.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/IMMERSED_SOLID_CURVED_HARDWALL_MASK.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/IMMERSED_SOLID_Q6_Q9_MASK.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/IMMERSED_SOLID_RECTANGLE_BACKWARD_STEP.md,keep,documentation cas,documentation utile pour un des cinq cas de production
docs/INCOMPRESSIBLE_Q6_Q9_STATUS.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/INLET_OUTLET_BACKWARD_STEP_VALIDATION_0066.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/INLET_OUTLET_CLASSIC_0061.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/INLET_OUTLET_OPEN_CHANNEL_BULK_DIAGNOSTICS_0065B.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/INLET_OUTLET_OPEN_CHANNEL_VALIDATION_0065.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/INLET_OUTLET_Q6_0062.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/INLET_OUTLET_Q9_0063.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/INLET_OUTLET_Q9_0063B_FAST_SWEEP.md,remove,campagne/sweep,préparation de campagnes de développement retirée
docs/INLET_OUTLET_VIRIAL_0064.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/INLET_OUTLET_VIRIAL_0064B_FAST_SWEEP.md,remove,campagne/sweep,préparation de campagnes de développement retirée
docs/LIQUID_CLOSURE_DYNAMIC_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/LIQUID_CLOSURE_Q6_Q9_VIRIAL_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/MASS_AWARE_THERMOSTAT.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/MATLAB_POSTPROCESSING.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/MINIMAL_PISTON_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/MOVING_WALL_NUMERICAL_SAFETY.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/PISTON_ACTIVE_DOMAIN_Q6_Q9.md,keep,documentation cas,documentation utile pour un des cinq cas de production
docs/POISEUILLE_CALIBRATION.md,keep,documentation cas,documentation utile pour un des cinq cas de production
docs/POISEUILLE_Q6_CHANNEL_LONG_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
docs/POISEUILLE_Q9_FILTERED_CHANNEL_VALIDATION.md,remove,validation,script ou document de validation intermédiaire retiré de la version production
